# Instruções que aparecem no inventário do QEMU mas NÃO pertencem à arquitetura da coluna.
#
# O arquivo `.decode` do QEMU agrupa por ESPAÇO DE ENCODING, não por versão de arquitetura: o
# `a32.decode` traz junto instruções de ARMv4 e de ARMv8.  Sem esta lista, a tabela cobra de um
# ARM11 MPCore instruções que esse núcleo nunca teve, o denominador fica errado e a meta de
# "tudo ✅" vira inalcançável por construção.
#
# Formato (separado por TAB):   instrução <TAB> arquiteturas <TAB> motivo
#   - `instrução`     é o mnemônico exatamente como no inventário; `*` no fim casa por prefixo.
#   - `arquiteturas`  é `*` (todas) ou uma lista separada por vírgula (`MPCore,v6K`).
#   - `motivo`        TEM que citar a versão de arquitetura que introduziu a instrução.
#
# Esta lista é CURADA À MÃO e cresce por triagem: cada task de cobertura que encontrar uma
# instrução fora da arquitetura-alvo acrescenta a linha com a justificativa. Só entram aqui casos
# com fonte — na dúvida, a instrução fica como ❌ e vira trabalho, que é o lado seguro do erro.

# ── ARMv8-A: instruções de aquisição/liberação (load-acquire / store-release) ─────────────────
VDUP	*	Advanced SIMD (NEON); nenhum preset declara NEON hoje

# ── A64, "Data-processing (1/2 source)": FEAT_CSSC (ARMv8.9-A) — posterior ao escopo da B8.2 ──
CTZ	A64	ARMv8.9-A/FEAT_CSSC (forma escalar GPR, "Data-processing (1 source)")
SMAX	A64	ARMv8.9-A/FEAT_CSSC (forma escalar GPR, "Data-processing (2 source)")
SMIN	A64	ARMv8.9-A/FEAT_CSSC (forma escalar GPR, "Data-processing (2 source)")
UMAX	A64	ARMv8.9-A/FEAT_CSSC (forma escalar GPR, "Data-processing (2 source)")
UMIN	A64	ARMv8.9-A/FEAT_CSSC (forma escalar GPR, "Data-processing (2 source)")

# ── A64, "Branch/Exception/System" (B8.3): FEAT_CMPBR (Armv9.5-A) — compare-and-branch ────────
# ── condicional, posterior ao Cortex-A53 do raspi3 (Armv8.0-A, alvo primário desta frente).
CB_cond	A64	Armv9.5-A/FEAT_CMPBR ("CB<cc>", compare and branch condicional)
CB_cond_imm	A64	Armv9.5-A/FEAT_CMPBR ("CB<cc>", compare-immediate and branch condicional)

# ── A64, "Branch/Exception/System" (B8.3): FEAT_PAuth (ARMv8.3-A) — formas de branch com ──────
# ── autenticação de ponteiro, posterior ao Cortex-A53 do raspi3 (ARMv8.0-A). As formas "hint"
# ── (PACIA1716/PACIASP/...) já decodificam como NOP desde B6.6.7 (RES NOP mesmo sem FEAT_PAuth,
# ── ARM DDI 0487 C6.2.132) — só as formas de BRANCH REAL ficam de fora aqui.
BRAZ	A64	ARMv8.3-A/FEAT_PAuth ("BRAAZ"/"BRABZ", branch com chave de autenticação zero)
BLRAZ	A64	ARMv8.3-A/FEAT_PAuth ("BLRAAZ"/"BLRABZ", branch-and-link com chave de autenticação zero)
RETA	A64	ARMv8.3-A/FEAT_PAuth ("RETAA"/"RETAB", return com autenticação)
BRA	A64	ARMv8.3-A/FEAT_PAuth ("BRAA"/"BRAB", branch com registrador modificador)
BLRA	A64	ARMv8.3-A/FEAT_PAuth ("BLRAA"/"BLRAB", branch-and-link com registrador modificador)
ERETA	A64	ARMv8.3-A/FEAT_PAuth ("ERETAA"/"ERETAB", exception return com autenticação)

# ── A64, "System" (B8.3): FEAT_SME — `SVCR` controla o estado de streaming-SVE/ZA, que não ────
# ── existe sem SME nenhum implementado (mesma decisão já registrada para o grupo SVE/SME
# ── inteiro em docs/COBERTURA-ISA.md, "não se aplica a nenhum preset atual").
MSR_i_SVCR	A64	ARMv9.2-A/FEAT_SME ("MSR SVCR, #imm" — controla estado de streaming-SVE/ZA)

# -- VFP (B9.5): conversao de/para meia precisao (extensao opcional de VFPv3, aa32_fp16_spconv/
# -- aa32_fp16_dpconv no QEMU real) e BFloat16 (ARMv8.6). Conferido em
# -- target/arm/tcg/translate-vfp.c: trans_VCVT_f32_f16/trans_VCVT_f16_f32 exigem
# -- dc_isar_feature(aa32_fp16_spconv), trans_VCVT_f64_f16/trans_VCVT_f16_f64 exigem
# -- aa32_fpdp_v2+aa32_fp16_dpconv, trans_VCVT_b16_f32 exige aa32_bf16 -- nenhuma feature deste
# -- projeto (nem o ARM11 MPCore real do 3DS) declara essas extensoes. VCVT_int_hp/VCVT_hp_int
# -- (conversao inteiro<->meia precisao ARITMETICA, nao so bits) exigem aa32_fp16_arith
# -- (ARMv8.2-A FP16 completo) -- so VCVT_int_hp casa com o padrao `*_hp` acima, VCVT_hp_int
# -- precisa de linha propria (nome termina em "_int", nao em "_hp").
VCVT_f32_f16	MPCore,v7-A	VFPv3 extensao opcional de meia precisao (aa32_fp16_spconv)
VCVT_f16_f32	MPCore,v7-A	VFPv3 extensao opcional de meia precisao (aa32_fp16_spconv)
VCVT_f64_f16	MPCore,v7-A	VFPv3 extensao opcional de meia precisao (aa32_fpdp_v2+aa32_fp16_dpconv)
VCVT_f16_f64	MPCore,v7-A	VFPv3 extensao opcional de meia precisao (aa32_fpdp_v2+aa32_fp16_dpconv)
VCVT_b16_f32	MPCore,v7-A	ARMv8.6-A BFloat16 (aa32_bf16)
VCVT_hp_int	MPCore,v7-A	ARMv8.2-A FP16 aritmetica completa (aa32_fp16_arith)

# -- VFP (B9.5): VMOV_to_gp/VMOV_from_gp formas byte/halfword (size=0/1 do encoding NEON) sao
# -- Advanced SIMD de verdade (QEMU translate-vfp.c: insn_is_neon = size != MO_32, exige
# -- ARM_FEATURE_NEON), so a forma word (size=2) e VFPv2 genuina (aa32_fpsp_v2) e foi
# -- implementada. NAO adicionadas aqui: o inventario usa o MESMO mnemonico "VMOV_to_gp"/
# -- "VMOV_from_gp" para as 3 formas (byte/halfword/word), e a curadoria deste arquivo casa por
# -- NOME, sem distinguir sub-encoding -- excluir aqui apagaria tambem a forma word ja
# -- implementada. Ficam como falso-negativo conhecido (2 das 3 linhas de cada mnemonico
# -- continuam ❌), documentado em vez de "corrigido incorretamente" -- ver Resultado da B9.5.

# -- B9.1: "Signed multiply, signed and unsigned divide" (ARM DDI 0406C A5.2.6) e ARMv6 --
# -- confirmado contra op_smlad/op_smlald/op_smmla reais em target/arm/tcg/translate.c do QEMU,
# -- todos gateados por `ENABLE_ARCH_6` -- nao existe em ARMv4T (v4T) nem ARMv5TE (v5TE).
SMLAD	v4T,v5TE	ARMv6 (op_smlad, ENABLE_ARCH_6)
SMLADX	v4T,v5TE	ARMv6 (op_smlad, ENABLE_ARCH_6)
SMLSD	v4T,v5TE	ARMv6 (op_smlad, ENABLE_ARCH_6)
SMLSDX	v4T,v5TE	ARMv6 (op_smlad, ENABLE_ARCH_6)
SMLALD	v4T,v5TE	ARMv6 (op_smlald, ENABLE_ARCH_6)
SMLALDX	v4T,v5TE	ARMv6 (op_smlald, ENABLE_ARCH_6)
SMLSLD	v4T,v5TE	ARMv6 (op_smlald, ENABLE_ARCH_6)
SMLSLDX	v4T,v5TE	ARMv6 (op_smlald, ENABLE_ARCH_6)
SMMLA	v4T,v5TE	ARMv6 (op_smmla, ENABLE_ARCH_6)
SMMLAR	v4T,v5TE	ARMv6 (op_smmla, ENABLE_ARCH_6)
SMMLS	v4T,v5TE	ARMv6 (op_smmla, ENABLE_ARCH_6)
SMMLSR	v4T,v5TE	ARMv6 (op_smmla, ENABLE_ARCH_6)

# ── A64, "Floating-point <-> integer/half-precision" (B8.5): FEAT_FP16 — meia-precisão é ──────
# ── extensão OPCIONAL (ARMv8.2-A), CONFERIDA em `fp_access_check_scalar_hsd` real do QEMU ─────
# ── (`translate-a64.c`: qualquer operando `MO_16` exige `dc_isar_feature(aa64_fp16, s)`), o ───
# ── Cortex-A53 do Raspberry Pi 3 não a tem.
FMOV_xh	A64	ARMv8.2-A/FEAT_FP16 (move Xd<-Vn meia-precisão)
FMOV_hx	A64	ARMv8.2-A/FEAT_FP16 (move Vd<-Xn meia-precisão)
FCVT_s_hs	A64	ARMv8.2-A/FEAT_FP16 (FCVT single->half)
FCVT_s_hd	A64	ARMv8.2-A/FEAT_FP16 (FCVT double->half)
FCVT_s_sh	A64	ARMv8.2-A/FEAT_FP16 (FCVT half->single)
FCVT_s_dh	A64	ARMv8.2-A/FEAT_FP16 (FCVT half->double)

# ── A64, "Floating-point data-processing (1 source)" (B8.5): extensões opcionais POSTERIORES, ──
# ── CONFERIDAS contra `translate-a64.c` real (`TRANS_FEAT(..., aa64_bf16/aa64_frint, ...)`). ──
BFCVT_s	A64	ARMv8.6-A/FEAT_BF16 (FCVT para bfloat16)
FRINT32Z_s	A64	ARMv8.5-A/FEAT_FRINTTS
FRINT32X_s	A64	ARMv8.5-A/FEAT_FRINTTS
FRINT64Z_s	A64	ARMv8.5-A/FEAT_FRINTTS
FRINT64X_s	A64	ARMv8.5-A/FEAT_FRINTTS

# ── A64, "Conversion between floating-point and integer" (B8.5): FJCVTZS é FEAT_JSCVT ─────────
# ── (ARMv8.3-A, CONFERIDO via `dc_isar_feature(aa64_jscvt, s)` em `trans_FJCVTZS`); as formas ──
# ── "_g_simd"/"_simd" (mesmo opcode(21:16) de SCVTF/UCVTF/FCVTxS/FCVTxU "de verdade", só o bit ──
# ── `op0` de nível superior muda) são FEAT_FPRCVT (ARMv9.x, `ID_AA64ISAR3.FPRCVT`, CONFERIDO ───
# ── via `TRANS_FEAT(..., aa64_fprcvt, ...)`) — nenhum Cortex-A53 as tem.
FJCVTZS	A64	ARMv8.3-A/FEAT_JSCVT (Javascript convert)
SCVTF_simd	A64	ARMv9.x/FEAT_FPRCVT
UCVTF_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTAS_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTAU_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTMS_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTMU_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTNS_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTNU_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTPS_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTPU_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTZS_g_simd	A64	ARMv9.x/FEAT_FPRCVT
FCVTZU_g_simd	A64	ARMv9.x/FEAT_FPRCVT

# ── T32 (B9.7): MVE (Helium) "long shift" — ARMv8.1-M, exigem `@mve_sh_ri`/`@mve_shl_ri`/ ──────
# ── `@mve_sh_rr`/`@mve_shl_rr` (t32.decode), espaço reservado em ARMv7-A puro. CONFERIDO: o ────
# ── grupo inteiro só existe sob `ARM_FEATURE_MVE`/`ARM_FEATURE_V8_1M` no QEMU. ──────────────────
UQSHL_ri	v7-A	ARMv8.1-M/MVE (Helium)
LSLL_ri	v7-A	ARMv8.1-M/MVE (Helium)
UQSHLL_ri	v7-A	ARMv8.1-M/MVE (Helium)
URSHR_ri	v7-A	ARMv8.1-M/MVE (Helium)
LSRL_ri	v7-A	ARMv8.1-M/MVE (Helium)
URSHRL_ri	v7-A	ARMv8.1-M/MVE (Helium)
SRSHR_ri	v7-A	ARMv8.1-M/MVE (Helium)
ASRL_ri	v7-A	ARMv8.1-M/MVE (Helium)
SRSHRL_ri	v7-A	ARMv8.1-M/MVE (Helium)
SQSHL_ri	v7-A	ARMv8.1-M/MVE (Helium)
SQSHLL_ri	v7-A	ARMv8.1-M/MVE (Helium)
UQRSHL_rr	v7-A	ARMv8.1-M/MVE (Helium)
LSLL_rr	v7-A	ARMv8.1-M/MVE (Helium)
UQRSHLL64_rr	v7-A	ARMv8.1-M/MVE (Helium)
SQRSHR_rr	v7-A	ARMv8.1-M/MVE (Helium)
ASRL_rr	v7-A	ARMv8.1-M/MVE (Helium)
SQRSHRL64_rr	v7-A	ARMv8.1-M/MVE (Helium)
UQRSHLL48_rr	v7-A	ARMv8.1-M/MVE (Helium)
SQRSHRL48_rr	v7-A	ARMv8.1-M/MVE (Helium)

# ── T32 (B9.7): CLRM — QEMU t32.decode comentário explícito "M-profile CLRM uses that encoding" ─
# ── (mesmo bit-pattern de LDM_t32 com Rn=1111, que em A/R-profile é UNDEFINED — Rn=PC não pode ──
# ── ser base de LDM). Não existe em v7-A. ────────────────────────────────────────────────────────
CLRM	v7-A	ARMv8-M mainline (perfil M, não A/R-profile)

# ── T32 (B9.7): SB (Speculation Barrier) — CONFERIDO via `dc_isar_feature(aa32_sb, s)` em ──────
# ── `trans_SB` (target/arm/tcg/translate.c real do QEMU): FEAT_SB, extensão opcional ARMv8.0, ──
# ── posterior a v7-A (backport arquitetural, não faz parte do ARMv7-A base). ────────────────────
SB	v7-A	ARMv8.0-A/FEAT_SB (Speculation Barrier), opcional/posterior a v7-A

# ── T32 (B9.7): MRS_bank/MSR_bank/ERET/SMC/HVC NÃO entram aqui — regra do usuário (2026-08-23,
# ── ver memória `feedback-nunca-excluir-instrucao-arm`): são instruções REAIS do ARMv7VE/Security
# ── Extensions, mesma versão de arquitetura-alvo (v7-A), só optativas — não "posteriores". O
# ── precedente é EL1/EL2 no AArch64 (B10): construir Hyp/Monitor mode, não excluir. Ficam ❌
# ── na tabela até uma escada própria (Hyp mode + Monitor mode de 32 bits) — ver nota em
# ── `trilha-b-arquiteturas/b9.7-t32-thumb2.md`.

# ── A32 (B9.2): MOVW/MOVT/MLS/SBFX/UBFX/BFCI/RBIT — CONFERIDO contra `target/arm/tcg/translate.c`
# ── real do QEMU: todas gateadas por `ENABLE_ARCH_6T2` (`#define ENABLE_ARCH_6T2
# ── arm_dc_feature(s, ARM_FEATURE_THUMB2)`) — ARMv6T2, não ARMv6K. O ARM11 MPCore real (3DS) e o
# ── ARM1176JZF-S (raspi1/`virtual-arm-box`) são ARMv6K puro, sem Thumb-2 (confirmado também por
# ── `arm11mpcore_initfn` do QEMU: só `ARM_FEATURE_V6K`, nunca `ARM_FEATURE_THUMB2`) — já uma
# ── decisão registrada em `b5.2` (`ARM11_MPCORE` preset, "Sem Thumb-2"). Já implementadas em
# ── `ARMV7A` desde B3.1 (`ArmFeature.MOVW_MOVT`/`MLS_MULTIPLY`/`BIT_FIELD`/`BIT_REVERSE`).
MOVW	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2), MPCore/v6K reais não têm Thumb-2
MOVT	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2), MPCore/v6K reais não têm Thumb-2
MLS	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2), MPCore/v6K reais não têm Thumb-2
SBFX	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2, op_bfx), MPCore/v6K reais não têm Thumb-2
UBFX	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2, op_bfx), MPCore/v6K reais não têm Thumb-2
BFCI	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2, trans_BFCI = BFC/BFI), MPCore/v6K reais não têm Thumb-2
RBIT	v6K,MPCore	ARMv6T2 (ENABLE_ARCH_6T2, trans_RBIT), MPCore/v6K reais não têm Thumb-2

# ── A32 (B9.2): SDIV/UDIV — CONFERIDO contra `op_div`/`trans_SDIV`/`trans_UDIV` reais do QEMU:
# ── gateadas por `dc_isar_feature(aa32_arm_div, s)` — a extensão OPCIONAL de divisão inteira do
# ── ARMv7-A/R (nem existe o bit ISAR antes da v7), mais nova ainda que ARMv6T2. Não pertence ao
# ── ARM11 MPCore/ARMv6K por nenhuma leitura. Já implementada em `ARMV7A` desde B3.1
# ── (`ArmFeature.DIVIDE`, mesma nota "core que a possui, como o Cortex-A15/A7").
SDIV	v6K,MPCore	extensão opcional de divisão do ARMv7-A/R (aa32_arm_div), posterior a v6K
UDIV	v6K,MPCore	extensão opcional de divisão do ARMv7-A/R (aa32_arm_div), posterior a v6K

# ── VFP (B9.6): VFMA/VFMS/VFNMA/VFNMS (multiplicação-acumulação FUNDIDA) — CONFERIDO contra
# ── `target/arm/tcg/translate-vfp.c` real do QEMU (`do_vfm_sp`/`do_vfm_dp`, comentário literal
# ── "Present in VFPv4 only", gate `dc_isar_feature(aa32_simdfmac, s)`): VFPv4, não VFPv2. O ARM11
# ── MPCore (3DS) é cronologicamente ANTERIOR à especificação VFPv4 (ARM11 ~2002-2003, VFPv4 com a
# ── geração Cortex-A15/A7 ~2010) — não é "improvável", é impossível por construção. Já
# ── implementadas em `ARMV7A` (B9.6, `ArmFeature.VFP_FUSED_MULTIPLY_ACCUMULATE`, Cortex-A15/A7
# ── real tem VFPv4). `_hp` (meia precisão) fora do escopo por outro motivo, ver a seção VCVT_f32_f16
# ── acima — nem chega a aparecer como célula aplicável.
VFMA_sp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFMS_sp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFNMA_sp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFNMS_sp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFMA_dp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFMS_dp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFNMA_dp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4
VFNMS_dp	MPCore	VFPv4 (aa32_simdfmac), ARM11 MPCore é anterior à especificação VFPv4

# ── A64 (B8.8): SQRDMLAH/SQRDMLSH (rounding doubling multiply-accumulate/subtract, vetorial e
# ── escalar) são FEAT_RDM (ARMv8.1-A, "Rounding Double Multiply Add" — QEMU gateia com
# ── `dc_isar_feature(aa64_rdm, s)`), extensão OPCIONAL introduzida depois do ARMv8.0-A. O
# ── Cortex-A53 do raspi3 (alvo do virtual-arm-box) é ARMv8.0-A e não anuncia FEAT_RDM em
# ── ID_AA64ISAR0_EL1 — posterior, não "improvável" (mesmo padrão de exclusão de B9.6 para VFPv4).
# ── SQDMULH/SQRDMULH (SEM o "L" de acumulação) são ARMv8.0 genuínos e FORAM implementados.
SQRDMLAH_v	A64	ARMv8.1-A/FEAT_RDM (aa64_rdm), posterior ao Cortex-A53 (ARMv8.0-A)
SQRDMLSH_v	A64	ARMv8.1-A/FEAT_RDM (aa64_rdm), posterior ao Cortex-A53 (ARMv8.0-A)
SQRDMLAH_s	A64	ARMv8.1-A/FEAT_RDM (aa64_rdm), posterior ao Cortex-A53 (ARMv8.0-A)
SQRDMLSH_s	A64	ARMv8.1-A/FEAT_RDM (aa64_rdm), posterior ao Cortex-A53 (ARMv8.0-A)
